"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Geertruidenberg";"||Totaal binnenwater";"ha";"301"
"Geertruidenberg";"||Totaal buitenwater";"ha";""
"Geldermalsen";"Totale oppervlakte";"ha";"10173"
"Geldermalsen";"Totaal verkeersterrein";"ha";"566"
"Geldermalsen";"||Totaal bebouwd terrein";"ha";"786"
"Geldermalsen";"||Totaal semi-bebouwd terrein";"ha";"103"
"Geldermalsen";"Bouwterrein";"ha";"57"
"Geldermalsen";"||Totaal recreatieterrein";"ha";"113"
"Geldermalsen";"||Totaal agrarisch terrein";"ha";"7786"
"Geldermalsen";"||Totaal  bos en open natuurlijk terrein";"ha";"631"
"Geldermalsen";"||Totaal binnenwater";"ha";"188"
"Geldermalsen";"||Totaal buitenwater";"ha";""
"Geldrop";"Totale oppervlakte";"ha";""
"Geldrop";"Totaal verkeersterrein";"ha";""
"Geldrop";"||Totaal bebouwd terrein";"ha";""
"Geldrop";"||Totaal semi-bebouwd terrein";"ha";""
"Geldrop";"Bouwterrein";"ha";""
"Geldrop";"||Totaal recreatieterrein";"ha";""
"Geldrop";"||Totaal agrarisch terrein";"ha";""
"Geldrop";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Geldrop";"||Totaal binnenwater";"ha";""
"Geldrop";"||Totaal buitenwater";"ha";""
"Geldrop-Mierlo";"Totale oppervlakte";"ha";"3139"
"Geldrop-Mierlo";"Totaal verkeersterrein";"ha";"131"
"Geldrop-Mierlo";"||Totaal bebouwd terrein";"ha";"902"
"Geldrop-Mierlo";"||Totaal semi-bebouwd terrein";"ha";"66"
"Geldrop-Mierlo";"Bouwterrein";"ha";"32"
"Geldrop-Mierlo";"||Totaal recreatieterrein";"ha";"262"
"Geldrop-Mierlo";"||Totaal agrarisch terrein";"ha";"1040"
"Geldrop-Mierlo";"||Totaal  bos en open natuurlijk terrein";"ha";"700"
"Geldrop-Mierlo";"||Totaal binnenwater";"ha";"37"
"Geldrop-Mierlo";"||Totaal buitenwater";"ha";""
"Geleen";"Totale oppervlakte";"ha";""
"Geleen";"Totaal verkeersterrein";"ha";""
"Geleen";"||Totaal bebouwd terrein";"ha";""
"Geleen";"||Totaal semi-bebouwd terrein";"ha";""
"Geleen";"Bouwterrein";"ha";""
"Geleen";"||Totaal recreatieterrein";"ha";""
"Geleen";"||Totaal agrarisch terrein";"ha";""
"Geleen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Geleen";"||Totaal binnenwater";"ha";""
"Geleen";"||Totaal buitenwater";"ha";""
"Gemert";"Totale oppervlakte";"ha";""
"Gemert";"Totaal verkeersterrein";"ha";""
"Gemert";"||Totaal bebouwd terrein";"ha";""
"Gemert";"||Totaal semi-bebouwd terrein";"ha";""
"Gemert";"Bouwterrein";"ha";""
"Gemert";"||Totaal recreatieterrein";"ha";""
"Gemert";"||Totaal agrarisch terrein";"ha";""
"Gemert";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gemert";"||Totaal binnenwater";"ha";""
"Gemert";"||Totaal buitenwater";"ha";""
"Gemert-Bakel";"Totale oppervlakte";"ha";"12334"
"Gemert-Bakel";"Totaal verkeersterrein";"ha";"281"
"Gemert-Bakel";"||Totaal bebouwd terrein";"ha";"752"
"Gemert-Bakel";"||Totaal semi-bebouwd terrein";"ha";"126"
"Gemert-Bakel";"Bouwterrein";"ha";"59"
"Gemert-Bakel";"||Totaal recreatieterrein";"ha";"258"
"Gemert-Bakel";"||Totaal agrarisch terrein";"ha";"7821"
"Gemert-Bakel";"||Totaal  bos en open natuurlijk terrein";"ha";"2976"
"Gemert-Bakel";"||Totaal binnenwater";"ha";"120"
"Gemert-Bakel";"||Totaal buitenwater";"ha";""
"Gendringen";"Totale oppervlakte";"ha";""
"Gendringen";"Totaal verkeersterrein";"ha";""
"Gendringen";"||Totaal bebouwd terrein";"ha";""
"Gendringen";"||Totaal semi-bebouwd terrein";"ha";""
"Gendringen";"Bouwterrein";"ha";""
"Gendringen";"||Totaal recreatieterrein";"ha";""
"Gendringen";"||Totaal agrarisch terrein";"ha";""
"Gendringen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gendringen";"||Totaal binnenwater";"ha";""
"Gendringen";"||Totaal buitenwater";"ha";""
"Gendt";"Totale oppervlakte";"ha";""
"Gendt";"Totaal verkeersterrein";"ha";""
"Gendt";"||Totaal bebouwd terrein";"ha";""
"Gendt";"||Totaal semi-bebouwd terrein";"ha";""
"Gendt";"Bouwterrein";"ha";""
"Gendt";"||Totaal recreatieterrein";"ha";""
"Gendt";"||Totaal agrarisch terrein";"ha";""
"Gendt";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gendt";"||Totaal binnenwater";"ha";""
"Gendt";"||Totaal buitenwater";"ha";""
"Genemuiden";"Totale oppervlakte";"ha";""
"Genemuiden";"Totaal verkeersterrein";"ha";""
"Genemuiden";"||Totaal bebouwd terrein";"ha";""
"Genemuiden";"||Totaal semi-bebouwd terrein";"ha";""
"Genemuiden";"Bouwterrein";"ha";""
"Genemuiden";"||Totaal recreatieterrein";"ha";""
"Genemuiden";"||Totaal agrarisch terrein";"ha";""
"Genemuiden";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Genemuiden";"||Totaal binnenwater";"ha";""
"Genemuiden";"||Totaal buitenwater";"ha";""
"Gennep";"Totale oppervlakte";"ha";"5042"
"Gennep";"Totaal verkeersterrein";"ha";"174"
"Gennep";"||Totaal bebouwd terrein";"ha";"583"
"Gennep";"||Totaal semi-bebouwd terrein";"ha";"85"
"Gennep";"Bouwterrein";"ha";"41"
"Gennep";"||Totaal recreatieterrein";"ha";"167"
"Gennep";"||Totaal agrarisch terrein";"ha";"3197"
"Gennep";"||Totaal  bos en open natuurlijk terrein";"ha";"556"
"Gennep";"||Totaal binnenwater";"ha";"281"
"Gennep";"||Totaal buitenwater";"ha";""
"Giessenlanden";"Totale oppervlakte";"ha";"6511"
"Giessenlanden";"Totaal verkeersterrein";"ha";"219"
"Giessenlanden";"||Totaal bebouwd terrein";"ha";"307"
"Giessenlanden";"||Totaal semi-bebouwd terrein";"ha";"17"
"Giessenlanden";"Bouwterrein";"ha";"11"
"Giessenlanden";"||Totaal recreatieterrein";"ha";"85"
"Giessenlanden";"||Totaal agrarisch terrein";"ha";"5684"
"Giessenlanden";"||Totaal  bos en open natuurlijk terrein";"ha";"40"
"Giessenlanden";"||Totaal binnenwater";"ha";"159"
"Giessenlanden";"||Totaal buitenwater";"ha";""
"Gieten";"Totale oppervlakte";"ha";""
"Gieten";"Totaal verkeersterrein";"ha";""
"Gieten";"||Totaal bebouwd terrein";"ha";""
"Gieten";"||Totaal semi-bebouwd terrein";"ha";""
"Gieten";"Bouwterrein";"ha";""
"Gieten";"||Totaal recreatieterrein";"ha";""
"Gieten";"||Totaal agrarisch terrein";"ha";""
"Gieten";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gieten";"||Totaal binnenwater";"ha";""
"Gieten";"||Totaal buitenwater";"ha";""
"Gilze en Rijen";"Totale oppervlakte";"ha";"6566"
"Gilze en Rijen";"Totaal verkeersterrein";"ha";"282"
"Gilze en Rijen";"||Totaal bebouwd terrein";"ha";"704"
"Gilze en Rijen";"||Totaal semi-bebouwd terrein";"ha";"43"
"Gilze en Rijen";"Bouwterrein";"ha";"41"
"Gilze en Rijen";"||Totaal recreatieterrein";"ha";"292"
"Gilze en Rijen";"||Totaal agrarisch terrein";"ha";"3694"
"Gilze en Rijen";"||Totaal  bos en open natuurlijk terrein";"ha";"1523"
"Gilze en Rijen";"||Totaal binnenwater";"ha";"28"
"Gilze en Rijen";"||Totaal buitenwater";"ha";""
"Goedereede";"Totale oppervlakte";"ha";""
"Goedereede";"Totaal verkeersterrein";"ha";""
"Goedereede";"||Totaal bebouwd terrein";"ha";""
"Goedereede";"||Totaal semi-bebouwd terrein";"ha";""
"Goedereede";"Bouwterrein";"ha";""
"Goedereede";"||Totaal recreatieterrein";"ha";""
"Goedereede";"||Totaal agrarisch terrein";"ha";""
"Goedereede";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Goedereede";"||Totaal binnenwater";"ha";""
"Goedereede";"||Totaal buitenwater";"ha";""
"Goeree-Overflakkee";"Totale oppervlakte";"ha";"42235"
"Goeree-Overflakkee";"Totaal verkeersterrein";"ha";"905"
"Goeree-Overflakkee";"||Totaal bebouwd terrein";"ha";"1173"
"Goeree-Overflakkee";"||Totaal semi-bebouwd terrein";"ha";"313"
"Goeree-Overflakkee";"Bouwterrein";"ha";"138"
"Goeree-Overflakkee";"||Totaal recreatieterrein";"ha";"742"
"Goeree-Overflakkee";"||Totaal agrarisch terrein";"ha";"18285"
"Goeree-Overflakkee";"||Totaal  bos en open natuurlijk terrein";"ha";"4631"
"Goeree-Overflakkee";"||Totaal binnenwater";"ha";"11731"
"Goeree-Overflakkee";"||Totaal buitenwater";"ha";"4456"
"Goes";"Totale oppervlakte";"ha";"10192"
"Goes";"Totaal verkeersterrein";"ha";"464"
"Goes";"||Totaal bebouwd terrein";"ha";"989"
"Goes";"||Totaal semi-bebouwd terrein";"ha";"196"
"Goes";"Bouwterrein";"ha";"145"
"Goes";"||Totaal recreatieterrein";"ha";"326"
"Goes";"||Totaal agrarisch terrein";"ha";"6893"
"Goes";"||Totaal  bos en open natuurlijk terrein";"ha";"389"
"Goes";"||Totaal binnenwater";"ha";"622"
"Goes";"||Totaal buitenwater";"ha";"312"
"Goirle";"Totale oppervlakte";"ha";"4235"
"Goirle";"Totaal verkeersterrein";"ha";"75"
"Goirle";"||Totaal bebouwd terrein";"ha";"516"
"Goirle";"||Totaal semi-bebouwd terrein";"ha";"42"
"Goirle";"Bouwterrein";"ha";"38"
"Goirle";"||Totaal recreatieterrein";"ha";"105"
"Goirle";"||Totaal agrarisch terrein";"ha";"2382"
"Goirle";"||Totaal  bos en open natuurlijk terrein";"ha";"1091"
"Goirle";"||Totaal binnenwater";"ha";"25"
"Goirle";"||Totaal buitenwater";"ha";""
"Goor";"Totale oppervlakte";"ha";""
"Goor";"Totaal verkeersterrein";"ha";""
"Goor";"||Totaal bebouwd terrein";"ha";""
"Goor";"||Totaal semi-bebouwd terrein";"ha";""
"Goor";"Bouwterrein";"ha";""
"Goor";"||Totaal recreatieterrein";"ha";""
"Goor";"||Totaal agrarisch terrein";"ha";""
"Goor";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Goor";"||Totaal binnenwater";"ha";""
"Goor";"||Totaal buitenwater";"ha";""
"Gorinchem";"Totale oppervlakte";"ha";"2193"
"Gorinchem";"Totaal verkeersterrein";"ha";"183"
"Gorinchem";"||Totaal bebouwd terrein";"ha";"675"
"Gorinchem";"||Totaal semi-bebouwd terrein";"ha";"85"
"Gorinchem";"Bouwterrein";"ha";"72"
"Gorinchem";"||Totaal recreatieterrein";"ha";"155"
"Gorinchem";"||Totaal agrarisch terrein";"ha";"735"
"Gorinchem";"||Totaal  bos en open natuurlijk terrein";"ha";"50"
"Gorinchem";"||Totaal binnenwater";"ha";"311"
"Gorinchem";"||Totaal buitenwater";"ha";""
"Gorssel";"Totale oppervlakte";"ha";""
"Gorssel";"Totaal verkeersterrein";"ha";""
"Gorssel";"||Totaal bebouwd terrein";"ha";""
"Gorssel";"||Totaal semi-bebouwd terrein";"ha";""
"Gorssel";"Bouwterrein";"ha";""
"Gorssel";"||Totaal recreatieterrein";"ha";""
"Gorssel";"||Totaal agrarisch terrein";"ha";""
"Gorssel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gorssel";"||Totaal binnenwater";"ha";""
"Gorssel";"||Totaal buitenwater";"ha";""
"Gouda";"Totale oppervlakte";"ha";"1811"
"Gouda";"Totaal verkeersterrein";"ha";"117"
"Gouda";"||Totaal bebouwd terrein";"ha";"961"
"Gouda";"||Totaal semi-bebouwd terrein";"ha";"55"
"Gouda";"Bouwterrein";"ha";"46"
"Gouda";"||Totaal recreatieterrein";"ha";"192"
"Gouda";"||Totaal agrarisch terrein";"ha";"308"
"Gouda";"||Totaal  bos en open natuurlijk terrein";"ha";"19"
"Gouda";"||Totaal binnenwater";"ha";"161"
"Gouda";"||Totaal buitenwater";"ha";""
"Graafstroom";"Totale oppervlakte";"ha";""
"Graafstroom";"Totaal verkeersterrein";"ha";""
"Graafstroom";"||Totaal bebouwd terrein";"ha";""
"Graafstroom";"||Totaal semi-bebouwd terrein";"ha";""
"Graafstroom";"Bouwterrein";"ha";""
"Graafstroom";"||Totaal recreatieterrein";"ha";""
"Graafstroom";"||Totaal agrarisch terrein";"ha";""
"Graafstroom";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Graafstroom";"||Totaal binnenwater";"ha";""
"Graafstroom";"||Totaal buitenwater";"ha";""
"Graft-De Rijp";"Totale oppervlakte";"ha";""
"Graft-De Rijp";"Totaal verkeersterrein";"ha";""
"Graft-De Rijp";"||Totaal bebouwd terrein";"ha";""
"Graft-De Rijp";"||Totaal semi-bebouwd terrein";"ha";""
"Graft-De Rijp";"Bouwterrein";"ha";""
"Graft-De Rijp";"||Totaal recreatieterrein";"ha";""
"Graft-De Rijp";"||Totaal agrarisch terrein";"ha";""
"Graft-De Rijp";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Graft-De Rijp";"||Totaal binnenwater";"ha";""
"Graft-De Rijp";"||Totaal buitenwater";"ha";""
"Gramsbergen";"Totale oppervlakte";"ha";""
"Gramsbergen";"Totaal verkeersterrein";"ha";""
"Gramsbergen";"||Totaal bebouwd terrein";"ha";""
"Gramsbergen";"||Totaal semi-bebouwd terrein";"ha";""
"Gramsbergen";"Bouwterrein";"ha";""
"Gramsbergen";"||Totaal recreatieterrein";"ha";""
"Gramsbergen";"||Totaal agrarisch terrein";"ha";""
"Gramsbergen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gramsbergen";"||Totaal binnenwater";"ha";""
"Gramsbergen";"||Totaal buitenwater";"ha";""
"Grave";"Totale oppervlakte";"ha";"2803"
"Grave";"Totaal verkeersterrein";"ha";"71"
"Grave";"||Totaal bebouwd terrein";"ha";"295"
"Grave";"||Totaal semi-bebouwd terrein";"ha";"19"
"Grave";"Bouwterrein";"ha";"16"
"Grave";"||Totaal recreatieterrein";"ha";"78"
"Grave";"||Totaal agrarisch terrein";"ha";"2041"
"Grave";"||Totaal  bos en open natuurlijk terrein";"ha";"214"
"Grave";"||Totaal binnenwater";"ha";"85"
"Grave";"||Totaal buitenwater";"ha";""
"'s-Graveland";"Totale oppervlakte";"ha";""
"'s-Graveland";"Totaal verkeersterrein";"ha";""
"'s-Graveland";"||Totaal bebouwd terrein";"ha";""
"'s-Graveland";"||Totaal semi-bebouwd terrein";"ha";""
"'s-Graveland";"Bouwterrein";"ha";""
"'s-Graveland";"||Totaal recreatieterrein";"ha";""
"'s-Graveland";"||Totaal agrarisch terrein";"ha";""
"'s-Graveland";"||Totaal  bos en open natuurlijk terrein";"ha";""
"'s-Graveland";"||Totaal binnenwater";"ha";""
"'s-Graveland";"||Totaal buitenwater";"ha";""
"'s-Gravendeel";"Totale oppervlakte";"ha";""
"'s-Gravendeel";"Totaal verkeersterrein";"ha";""
"'s-Gravendeel";"||Totaal bebouwd terrein";"ha";""
"'s-Gravendeel";"||Totaal semi-bebouwd terrein";"ha";""
"'s-Gravendeel";"Bouwterrein";"ha";""
"'s-Gravendeel";"||Totaal recreatieterrein";"ha";""
"'s-Gravendeel";"||Totaal agrarisch terrein";"ha";""
"'s-Gravendeel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"'s-Gravendeel";"||Totaal binnenwater";"ha";""
"'s-Gravendeel";"||Totaal buitenwater";"ha";""
"'s-Gravenhage (gemeente)";"Totale oppervlakte";"ha";"9813"
"'s-Gravenhage (gemeente)";"Totaal verkeersterrein";"ha";"619"
"'s-Gravenhage (gemeente)";"||Totaal bebouwd terrein";"ha";"4799"
"'s-Gravenhage (gemeente)";"||Totaal semi-bebouwd terrein";"ha";"233"
"'s-Gravenhage (gemeente)";"Bouwterrein";"ha";"165"
"'s-Gravenhage (gemeente)";"||Totaal recreatieterrein";"ha";"1358"
"'s-Gravenhage (gemeente)";"||Totaal agrarisch terrein";"ha";"164"
"'s-Gravenhage (gemeente)";"||Totaal  bos en open natuurlijk terrein";"ha";"1072"
"'s-Gravenhage (gemeente)";"||Totaal binnenwater";"ha";"308"
"'s-Gravenhage (gemeente)";"||Totaal buitenwater";"ha";"1260"
"'s-Gravenmoer";"Totale oppervlakte";"ha";""
"'s-Gravenmoer";"Totaal verkeersterrein";"ha";""
"'s-Gravenmoer";"||Totaal bebouwd terrein";"ha";""
"'s-Gravenmoer";"||Totaal semi-bebouwd terrein";"ha";""
"'s-Gravenmoer";"Bouwterrein";"ha";""
"'s-Gravenmoer";"||Totaal recreatieterrein";"ha";""
"'s-Gravenmoer";"||Totaal agrarisch terrein";"ha";""
"'s-Gravenmoer";"||Totaal  bos en open natuurlijk terrein";"ha";""
"'s-Gravenmoer";"||Totaal binnenwater";"ha";""
"'s-Gravenmoer";"||Totaal buitenwater";"ha";""
"'s-Gravenzande";"Totale oppervlakte";"ha";""
"'s-Gravenzande";"Totaal verkeersterrein";"ha";""
"'s-Gravenzande";"||Totaal bebouwd terrein";"ha";""
"'s-Gravenzande";"||Totaal semi-bebouwd terrein";"ha";""
"'s-Gravenzande";"Bouwterrein";"ha";""
"'s-Gravenzande";"||Totaal recreatieterrein";"ha";""
"'s-Gravenzande";"||Totaal agrarisch terrein";"ha";""
"'s-Gravenzande";"||Totaal  bos en open natuurlijk terrein";"ha";""
"'s-Gravenzande";"||Totaal binnenwater";"ha";""
"'s-Gravenzande";"||Totaal buitenwater";"ha";""
"Groenlo";"Totale oppervlakte";"ha";""
"Groenlo";"Totaal verkeersterrein";"ha";""
"Groenlo";"||Totaal bebouwd terrein";"ha";""
"Groenlo";"||Totaal semi-bebouwd terrein";"ha";""
"Groenlo";"Bouwterrein";"ha";""
"Groenlo";"||Totaal recreatieterrein";"ha";""
"Groenlo";"||Totaal agrarisch terrein";"ha";""
"Groenlo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Groenlo";"||Totaal binnenwater";"ha";""
"Groenlo";"||Totaal buitenwater";"ha";""
"Groesbeek";"Totale oppervlakte";"ha";"9331"
"Groesbeek";"Totaal verkeersterrein";"ha";"202"
"Groesbeek";"||Totaal bebouwd terrein";"ha";"840"
"Groesbeek";"||Totaal semi-bebouwd terrein";"ha";"120"
"Groesbeek";"Bouwterrein";"ha";"72"
"Groesbeek";"||Totaal recreatieterrein";"ha";"333"
"Groesbeek";"||Totaal agrarisch terrein";"ha";"4967"
"Groesbeek";"||Totaal  bos en open natuurlijk terrein";"ha";"2172"
"Groesbeek";"||Totaal binnenwater";"ha";"696"
"Groesbeek";"||Totaal buitenwater";"ha";""
"Groningen (gemeente)";"Totale oppervlakte";"ha";"8375"
"Groningen (gemeente)";"Totaal verkeersterrein";"ha";"518"
"Groningen (gemeente)";"||Totaal bebouwd terrein";"ha";"3183"
"Groningen (gemeente)";"||Totaal semi-bebouwd terrein";"ha";"459"
"Groningen (gemeente)";"Bouwterrein";"ha";"310"
"Groningen (gemeente)";"||Totaal recreatieterrein";"ha";"729"
"Groningen (gemeente)";"||Totaal agrarisch terrein";"ha";"2783"
"Groningen (gemeente)";"||Totaal  bos en open natuurlijk terrein";"ha";"204"
"Groningen (gemeente)";"||Totaal binnenwater";"ha";"499"
"Groningen (gemeente)";"||Totaal buitenwater";"ha";""
"Grootegast";"Totale oppervlakte";"ha";"8774"
"Grootegast";"Totaal verkeersterrein";"ha";"163"
"Grootegast";"||Totaal bebouwd terrein";"ha";"336"
"Grootegast";"||Totaal semi-bebouwd terrein";"ha";"71"
"Grootegast";"Bouwterrein";"ha";"25"
"Grootegast";"||Totaal recreatieterrein";"ha";"105"
"Grootegast";"||Totaal agrarisch terrein";"ha";"7888"
"Grootegast";"||Totaal  bos en open natuurlijk terrein";"ha";"107"
"Grootegast";"||Totaal binnenwater";"ha";"104"
"Grootegast";"||Totaal buitenwater";"ha";""
"Grubbenvorst";"Totale oppervlakte";"ha";""
"Grubbenvorst";"Totaal verkeersterrein";"ha";""
"Grubbenvorst";"||Totaal bebouwd terrein";"ha";""
"Grubbenvorst";"||Totaal semi-bebouwd terrein";"ha";""
"Grubbenvorst";"Bouwterrein";"ha";""
"Grubbenvorst";"||Totaal recreatieterrein";"ha";""
"Grubbenvorst";"||Totaal agrarisch terrein";"ha";""
"Grubbenvorst";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Grubbenvorst";"||Totaal binnenwater";"ha";""
"Grubbenvorst";"||Totaal buitenwater";"ha";""
"Gulpen";"Totale oppervlakte";"ha";""
"Gulpen";"Totaal verkeersterrein";"ha";""
"Gulpen";"||Totaal bebouwd terrein";"ha";""
"Gulpen";"||Totaal semi-bebouwd terrein";"ha";""
"Gulpen";"Bouwterrein";"ha";""
"Gulpen";"||Totaal recreatieterrein";"ha";""
"Gulpen";"||Totaal agrarisch terrein";"ha";""
"Gulpen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Gulpen";"||Totaal binnenwater";"ha";""
"Gulpen";"||Totaal buitenwater";"ha";""
"Gulpen-Wittem";"Totale oppervlakte";"ha";"7336"
"Gulpen-Wittem";"Totaal verkeersterrein";"ha";"186"
"Gulpen-Wittem";"||Totaal bebouwd terrein";"ha";"294"
"Gulpen-Wittem";"||Totaal semi-bebouwd terrein";"ha";"12"
"Gulpen-Wittem";"Bouwterrein";"ha";"6"
"Gulpen-Wittem";"||Totaal recreatieterrein";"ha";"172"
"Gulpen-Wittem";"||Totaal agrarisch terrein";"ha";"5859"
"Gulpen-Wittem";"||Totaal  bos en open natuurlijk terrein";"ha";"795"
"Gulpen-Wittem";"||Totaal binnenwater";"ha";"18"
"Gulpen-Wittem";"||Totaal buitenwater";"ha";""
"Haaksbergen";"Totale oppervlakte";"ha";"10550"
"Haaksbergen";"Totaal verkeersterrein";"ha";"239"
"Haaksbergen";"||Totaal bebouwd terrein";"ha";"604"
"Haaksbergen";"||Totaal semi-bebouwd terrein";"ha";"30"
"Haaksbergen";"Bouwterrein";"ha";"17"
"Haaksbergen";"||Totaal recreatieterrein";"ha";"178"
"Haaksbergen";"||Totaal agrarisch terrein";"ha";"7169"
"Haaksbergen";"||Totaal  bos en open natuurlijk terrein";"ha";"2262"
"Haaksbergen";"||Totaal binnenwater";"ha";"68"
"Haaksbergen";"||Totaal buitenwater";"ha";""
"Haaren";"Totale oppervlakte";"ha";"5856"
"Haaren";"Totaal verkeersterrein";"ha";"150"
"Haaren";"||Totaal bebouwd terrein";"ha";"376"
"Haaren";"||Totaal semi-bebouwd terrein";"ha";"34"
"Haaren";"Bouwterrein";"ha";"30"
"Haaren";"||Totaal recreatieterrein";"ha";"101"
"Haaren";"||Totaal agrarisch terrein";"ha";"4165"
"Haaren";"||Totaal  bos en open natuurlijk terrein";"ha";"944"
"Haaren";"||Totaal binnenwater";"ha";"86"
"Haaren";"||Totaal buitenwater";"ha";""
"Haarlem";"Totale oppervlakte";"ha";"3209"
"Haarlem";"Totaal verkeersterrein";"ha";"213"
"Haarlem";"||Totaal bebouwd terrein";"ha";"1720"
"Haarlem";"||Totaal semi-bebouwd terrein";"ha";"70"
"Haarlem";"Bouwterrein";"ha";"42"
"Haarlem";"||Totaal recreatieterrein";"ha";"431"
"Haarlem";"||Totaal agrarisch terrein";"ha";"418"
"Haarlem";"||Totaal  bos en open natuurlijk terrein";"ha";"66"
"Haarlem";"||Totaal binnenwater";"ha";"292"
"Haarlem";"||Totaal buitenwater";"ha";""
"Haarlemmerliede en Spaarnwoude";"Totale oppervlakte";"ha";"2119"
"Haarlemmerliede en Spaarnwoude";"Totaal verkeersterrein";"ha";"133"
"Haarlemmerliede en Spaarnwoude";"||Totaal bebouwd terrein";"ha";"132"
"Haarlemmerliede en Spaarnwoude";"||Totaal semi-bebouwd terrein";"ha";"60"
"Haarlemmerliede en Spaarnwoude";"Bouwterrein";"ha";"58"
"Haarlemmerliede en Spaarnwoude";"||Totaal recreatieterrein";"ha";"164"
"Haarlemmerliede en Spaarnwoude";"||Totaal agrarisch terrein";"ha";"1148"
"Haarlemmerliede en Spaarnwoude";"||Totaal  bos en open natuurlijk terrein";"ha";"285"
"Haarlemmerliede en Spaarnwoude";"||Totaal binnenwater";"ha";"197"
"Haarlemmerliede en Spaarnwoude";"||Totaal buitenwater";"ha";""
"Haarlemmermeer";"Totale oppervlakte";"ha";"18513"
"Haarlemmermeer";"Totaal verkeersterrein";"ha";"1861"
"Haarlemmermeer";"||Totaal bebouwd terrein";"ha";"3309"
"Haarlemmermeer";"||Totaal semi-bebouwd terrein";"ha";"750"
"Haarlemmermeer";"Bouwterrein";"ha";"713"
"Haarlemmermeer";"||Totaal recreatieterrein";"ha";"1264"
"Haarlemmermeer";"||Totaal agrarisch terrein";"ha";"10479"
"Haarlemmermeer";"||Totaal  bos en open natuurlijk terrein";"ha";"163"
"Haarlemmermeer";"||Totaal binnenwater";"ha";"686"
"Haarlemmermeer";"||Totaal buitenwater";"ha";""
"Haelen";"Totale oppervlakte";"ha";""
"Haelen";"Totaal verkeersterrein";"ha";""
"Haelen";"||Totaal bebouwd terrein";"ha";""
"Haelen";"||Totaal semi-bebouwd terrein";"ha";""
"Haelen";"Bouwterrein";"ha";""
"Haelen";"||Totaal recreatieterrein";"ha";""
"Haelen";"||Totaal agrarisch terrein";"ha";""
"Haelen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Haelen";"||Totaal binnenwater";"ha";""
"Haelen";"||Totaal buitenwater";"ha";""
"Halderberge";"Totale oppervlakte";"ha";"7521"
"Halderberge";"Totaal verkeersterrein";"ha";"327"
"Halderberge";"||Totaal bebouwd terrein";"ha";"793"
"Halderberge";"||Totaal semi-bebouwd terrein";"ha";"88"
"Halderberge";"Bouwterrein";"ha";"83"
"Halderberge";"||Totaal recreatieterrein";"ha";"172"
"Halderberge";"||Totaal agrarisch terrein";"ha";"5789"
"Halderberge";"||Totaal  bos en open natuurlijk terrein";"ha";"278"
"Halderberge";"||Totaal binnenwater";"ha";"75"
"Halderberge";"||Totaal buitenwater";"ha";""
"Halsteren";"Totale oppervlakte";"ha";""
"Halsteren";"Totaal verkeersterrein";"ha";""
"Halsteren";"||Totaal bebouwd terrein";"ha";""
"Halsteren";"||Totaal semi-bebouwd terrein";"ha";""
"Halsteren";"Bouwterrein";"ha";""
"Halsteren";"||Totaal recreatieterrein";"ha";""
"Halsteren";"||Totaal agrarisch terrein";"ha";""
"Halsteren";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Halsteren";"||Totaal binnenwater";"ha";""
"Halsteren";"||Totaal buitenwater";"ha";""
"Den Ham";"Totale oppervlakte";"ha";""
"Den Ham";"Totaal verkeersterrein";"ha";""
"Den Ham";"||Totaal bebouwd terrein";"ha";""
"Den Ham";"||Totaal semi-bebouwd terrein";"ha";""
"Den Ham";"Bouwterrein";"ha";""
"Den Ham";"||Totaal recreatieterrein";"ha";""
"Den Ham";"||Totaal agrarisch terrein";"ha";""
"Den Ham";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Den Ham";"||Totaal binnenwater";"ha";""
"Den Ham";"||Totaal buitenwater";"ha";""
"Hardenberg";"Totale oppervlakte";"ha";"31715"
"Hardenberg";"Totaal verkeersterrein";"ha";"941"
"Hardenberg";"||Totaal bebouwd terrein";"ha";"1617"
"Hardenberg";"||Totaal semi-bebouwd terrein";"ha";"332"
"Hardenberg";"Bouwterrein";"ha";"219"
"Hardenberg";"||Totaal recreatieterrein";"ha";"608"
"Hardenberg";"||Totaal agrarisch terrein";"ha";"25449"
