"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Zuid-Holland (PV)";"||Totaal semi-bebouwd terrein";"ha";"7229"
"Zuid-Holland (PV)";"Bouwterrein";"ha";"5801"
"Zuid-Holland (PV)";"||Totaal recreatieterrein";"ha";"17037"
"Zuid-Holland (PV)";"||Totaal agrarisch terrein";"ha";"162858"
"Zuid-Holland (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"23134"
"Zuid-Holland (PV)";"||Totaal binnenwater";"ha";"44705"
"Zuid-Holland (PV)";"||Totaal buitenwater";"ha";"16445"
"Zeeland (PV)";"Totale oppervlakte";"ha";"293344"
"Zeeland (PV)";"Totaal verkeersterrein";"ha";"7171"
"Zeeland (PV)";"||Totaal bebouwd terrein";"ha";"11942"
"Zeeland (PV)";"||Totaal semi-bebouwd terrein";"ha";"3709"
"Zeeland (PV)";"Bouwterrein";"ha";"2373"
"Zeeland (PV)";"||Totaal recreatieterrein";"ha";"4826"
"Zeeland (PV)";"||Totaal agrarisch terrein";"ha";"136312"
"Zeeland (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"14251"
"Zeeland (PV)";"||Totaal binnenwater";"ha";"14681"
"Zeeland (PV)";"||Totaal buitenwater";"ha";"100450"
"Noord-Brabant (PV)";"Totale oppervlakte";"ha";"508206"
"Noord-Brabant (PV)";"Totaal verkeersterrein";"ha";"17612"
"Noord-Brabant (PV)";"||Totaal bebouwd terrein";"ha";"61759"
"Noord-Brabant (PV)";"||Totaal semi-bebouwd terrein";"ha";"6921"
"Noord-Brabant (PV)";"Bouwterrein";"ha";"5566"
"Noord-Brabant (PV)";"||Totaal recreatieterrein";"ha";"14428"
"Noord-Brabant (PV)";"||Totaal agrarisch terrein";"ha";"304515"
"Noord-Brabant (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"85312"
"Noord-Brabant (PV)";"||Totaal binnenwater";"ha";"17659"
"Noord-Brabant (PV)";"||Totaal buitenwater";"ha";""
"Limburg (PV)";"Totale oppervlakte";"ha";"220951"
"Limburg (PV)";"Totaal verkeersterrein";"ha";"8076"
"Limburg (PV)";"||Totaal bebouwd terrein";"ha";"30051"
"Limburg (PV)";"||Totaal semi-bebouwd terrein";"ha";"3940"
"Limburg (PV)";"Bouwterrein";"ha";"2310"
"Limburg (PV)";"||Totaal recreatieterrein";"ha";"7302"
"Limburg (PV)";"||Totaal agrarisch terrein";"ha";"129331"
"Limburg (PV)";"||Totaal  bos en open natuurlijk terrein";"ha";"35951"
"Limburg (PV)";"||Totaal binnenwater";"ha";"6300"
"Limburg (PV)";"||Totaal buitenwater";"ha";""
"Aa en Hunze";"Totale oppervlakte";"ha";"27888"
"Aa en Hunze";"Totaal verkeersterrein";"ha";"609"
"Aa en Hunze";"||Totaal bebouwd terrein";"ha";"953"
"Aa en Hunze";"||Totaal semi-bebouwd terrein";"ha";"147"
