Code,Gemeentena,GM_Code,Shape__Are,Shape__Len,Res_regio,Rescode
1949,Waadhoeke,GM1949,316014802.54100000858,106719.93225899999,Regio Friesland,RES009
0935,Maastricht,GM0935,60117959.10700000077,42826.46295010000,Regio Zuid-Limburg,RES030
0396,Heemskerk,GM0396,31679529.07050000131,31308.56934800000,Regio Noord-Holland Zuid,RES016
0823,Oirschot,GM0823,102844864.77699999511,60530.44471930000,Metropoolregio Eindhoven,RES017
0867,Waalwijk,GM0867,67646236.56100000441,42118.00927750000,Regio Hart van Brabant,RES011
1685,Landerd,GM1685,70706532.42290000618,49523.60952310000,Regio Noord-oost Brabant,RES020
0114,Emmen,GM0114,346259107.94700002670,81438.89519559999,Regio Drenthe,RES006
0230,Elburg,GM0230,65908363.22269999981,41718.46686360000,Regio Noord Veluwe,RES021
0777,Etten-Leur,GM0777,55921294.15579999983,38573.99625170000,Regio West Brabant,RES027
1695,Noord-Beveland,GM1695,121583553.25000000000,62876.94558200000,Regio Zeeland,RES029
1740,Neder-Betuwe,GM1740,67461073.84649999440,66137.44883120000,Regio Rivierenland (Fruitdelta),RES022
0553,Lisse,GM0553,16054142.63619999960,19182.12758070000,Regio Holland Rijnland,RES013
0342,Soest,GM0342,46432000.65429999679,30455.01413290000,Regio Amersfoort,RES004
0024,Loppersum,GM0024,111989193.68700000644,64612.05324140000,Regio Groningen,RES012
0321,Houten,GM0321,58985522.20570000261,38547.24203290000,Regio U16/U10,RES026
0214,Buren,GM0214,142921842.02799999714,71232.17107830000,Regio Rivierenland (Fruitdelta),RES022
0453,Velsen,GM0453,63171173.35670000315,40458.02572740000,Regio Noord-Holland Zuid,RES016
0826,Oosterhout,GM0826,73086769.60969999433,43160.60691370000,Regio West Brabant,RES027
0072,Harlingen,GM0072,387667545.02300000191,97473.26620770000,Regio Friesland,RES009
0489,Barendrecht,GM0489,21730585.05629999936,19983.87173440000,Regio Rotterdam-Den Haag,RES023
0737,Tytsjerksteradiel,GM0737,161405570.96599999070,80524.26259100001,Regio Friesland,RES009
0744,Baarle-Nassau,GM0744,76285122.64800000191,99202.31979930001,Regio West Brabant,RES027
0957,Roermond,GM0957,71050925.12430000305,47473.68780640000,Regio Noord- en Midden Limburg,RES019
0606,Schiedam,GM0606,19857484.70749999955,23196.56658550000,Regio Rotterdam-Den Haag,RES023
0177,Raalte,GM0177,172290458.29899999499,76260.35828879999,Regio West-Overijssel,RES028
0798,Hilvarenbeek,GM0798,96507470.23499999940,53022.48389320000,Regio Hart van Brabant,RES011
1903,Eijsden-Margraten,GM1903,78768131.33499999344,57948.48701790000,Regio Zuid-Limburg,RES030
1659,Laarbeek,GM1659,56166123.69990000129,37845.89460700000,Metropoolregio Eindhoven,RES017
0209,Beuningen,GM0209,47089889.76600000262,31234.37304640000,Regio Arnhem-Nijmegen,RES003
0703,Reimerswaal,GM0703,242417229.70800000429,88579.74326710000,Regio Zeeland,RES029
0603,Rijswijk,GM0603,14488091.17769999988,17278.66591830000,Regio Rotterdam-Den Haag,RES023
0873,Woensdrecht,GM0873,91970096.73280000687,48460.37323210000,Regio West Brabant,RES027
0626,Voorschoten,GM0626,11559446.18799999915,16359.62425030000,Regio Holland Rijnland,RES013
0183,Tubbergen,GM0183,147441415.05199998617,64928.09335170000,Regio Twente,RES025
1955,Montferland,GM1955,106637313.09999999404,60393.13305850000,Regio Achterhoek,RES001
0479,Zaanstad,GM0479,83235283.55539999902,42049.47827070000,Regio Noord-Holland Zuid,RES016
0451,Uithoorn,GM0451,19419052.62170000002,24200.74751970000,Regio Noord-Holland Zuid,RES016
0345,Veenendaal,GM0345,19724167.39990000054,20030.47501050000,Regio FoodValley,RES008
1724,Bergeijk,GM1724,101753718.41699999571,58344.09451620000,Metropoolregio Eindhoven,RES017
1676,Schouwen-Duiveland,GM1676,488207499.71600002050,117497.35164800000,Regio Zeeland,RES029
0034,Almere,GM0034,248766090.64300000668,98102.17624230000,Regio Flevoland,RES007
1655,Halderberge,GM1655,75214852.28939999640,44016.50595520000,Regio West Brabant,RES027
0098,Weststellingwerf,GM0098,228446186.84900000691,85145.90498110000,Regio Friesland,RES009
1895,Oldambt,GM1895,295959728.85000002384,97646.97629370001,Regio Groningen,RES012
0086,Opsterland,GM0086,227641536.69499999285,85238.02168140000,Regio Friesland,RES009
0193,Zwolle,GM0193,119364079.25000000000,64780.38695140000,Regio West-Overijssel,RES028
0981,Vaals,GM0981,23898053.51669999957,27675.15758880000,Regio Zuid-Limburg,RES030
0273,Putten,GM0273,87502677.59639999270,41242.69112120000,Regio Noord Veluwe,RES021
1709,Moerdijk,GM1709,184025321.90400001407,67441.63570899999,Regio West Brabant,RES027
0415,Landsmeer,GM0415,26504137.78999999911,22534.22326700000,Regio Noord-Holland Zuid,RES016
0085,Ooststellingwerf,GM0085,226112548.14599999785,71812.51021280000,Regio Friesland,RES009
0482,Alblasserdam,GM0482,10060080.58620000072,17106.38168360000,Regio Drechtsteden,RES005
0148,Dalfsen,GM0148,166518037.17500001192,71075.47526419999,Regio West-Overijssel,RES028
0547,Leiderdorp,GM0547,12275656.36150000058,16410.82264420000,Regio Holland Rijnland,RES013
0441,Schagen,GM0441,187280777.99500000477,67520.00006050000,Regio Noord-Holland Noord,RES018
0983,Venlo,GM0983,128991278.91899999976,79753.17336790000,Regio Noord- en Midden Limburg,RES019
0597,Ridderkerk,GM0597,25262859.65909999982,22829.62172910000,Regio Rotterdam-Den Haag,RES023
1945,Berg en Dal,GM1945,93322671.76710000634,65129.22930840000,Regio Arnhem-Nijmegen,RES003
0865,Vught,GM0865,34728010.91610000283,31210.26108080000,Regio Noord-oost Brabant,RES020
1667,Reusel-De Mierden,GM1667,78663279.73440000415,41661.79395230000,Metropoolregio Eindhoven,RES017
0037,Stadskanaal,GM0037,119944106.04000000656,64057.94825140000,Regio Groningen,RES012
0228,Ede,GM0228,318620423.65600001812,87629.36976650001,Regio FoodValley,RES008
0246,Heerde,GM0246,80420536.50339999795,38796.41155280000,Regio Stedendriehoek/cleantechregio,RES024
0301,Zutphen,GM0301,42934420.89760000259,43953.91079360000,Regio Stedendriehoek/cleantechregio,RES024
0243,Harderwijk,GM0243,48270176.74899999797,32043.50786780000,Regio Noord Veluwe,RES021
0351,Woudenberg,GM0351,36822053.23589999974,49965.67779740000,Regio Amersfoort,RES004
1640,Leudal,GM1640,164905116.98600000143,73859.86669559999,Regio Noord- en Midden Limburg,RES019
0784,Gilze en Rijen,GM0784,65664671.57500000298,44196.77032660000,Regio Hart van Brabant,RES011
0766,Dongen,GM0766,29739736.90650000051,28686.73129290000,Regio Hart van Brabant,RES011
0384,Diemen,GM0384,14037208.09420000017,22190.01031490000,Regio Noord-Holland Zuid,RES016
0788,Haaren,GM0788,58560349.50840000063,43473.34787430000,Regio Noord-oost Brabant,RES020
0882,Landgraaf,GM0882,24665401.48009999841,26438.36928220000,Regio Zuid-Limburg,RES030
0654,Borsele,GM0654,194515629.68900001049,61686.55328440000,Regio Zeeland,RES029
1911,Hollands Kroon,GM1911,662196739.67900002003,124169.22342900001,Regio Noord-Holland Noord,RES018
0173,Oldenzaal,GM0173,21952700.75840000063,23249.33585490000,Regio Twente,RES025
0579,Oegstgeest,GM0579,7967206.33882999979,19161.60085990000,Regio Holland Rijnland,RES013
0815,Mill en Sint Hubert,GM0815,53174083.10100000352,35463.75876270000,Regio Noord-oost Brabant,RES020
0716,Tholen,GM0716,254004781.24000000954,83818.62679600000,Regio Zeeland,RES029
0417,Laren,GM0417,12411359.75809999928,16553.14777660000,Regio Noord-Holland Zuid,RES016
1924,Goeree-Overflakkee,GM1924,422347879.80099999905,112991.16687500000,Regio Goerree-Overflakkee,RES010
0226,Duiven,GM0226,35187885.29940000176,30269.80300450000,Regio Arnhem-Nijmegen,RES003
0986,Voerendaal,GM0986,31521108.46739999950,27238.62696250000,Regio Zuid-Limburg,RES030
1669,Roerdalen,GM1669,88785634.94339999557,69750.90752820000,Regio Noord- en Midden Limburg,RES019
0677,Hulst,GM0677,251820451.60100001097,76003.23416110000,Regio Zeeland,RES029
0370,Beemster,GM0370,72067164.48800000548,38553.58593380000,Regio Noord-Holland Zuid,RES016
0546,Leiden,GM0546,23270262.12260000035,25762.21558270000,Regio Holland Rijnland,RES013
0331,Lopik,GM0331,78978950.04770000279,42334.45322520000,Regio U16/U10,RES026
0153,Enschede,GM0153,142724067.04899999499,53094.11613890000,Regio Twente,RES025
1731,Midden-Drenthe,GM1731,345873830.78500002623,111886.42451500001,Regio Drenthe,RES006
0399,Heiloo,GM0399,19013662.42940000072,20550.12235310000,Regio Noord-Holland Noord,RES018
0590,Papendrecht,GM0590,10789958.18109999970,14916.68397840000,Regio Drechtsteden,RES005
0406,Huizen,GM0406,23322803.31859999895,26902.40691450000,Regio Noord-Holland Zuid,RES016
0450,Uitgeest,GM0450,22290553.89640000090,24378.20939340000,Regio Noord-Holland Noord,RES018
0851,Steenbergen,GM0851,159141883.43500000238,55417.85673680000,Regio West Brabant,RES027
0385,Edam-Volendam,GM0385,79995998.44329999387,51015.86041560000,Regio Noord-Holland Zuid,RES016
1735,Hof van Twente,GM1735,215409428.55000001192,75126.76519510000,Regio Twente,RES025
0119,Meppel,GM0119,57027703.87370000035,53075.78311920000,Regio Drenthe,RES006
0096,Vlieland,GM0096,315801167.18500000238,79297.83122890000,Regio Friesland,RES009
1641,Maasgouw,GM1641,58117107.13790000230,48792.70674090000,Regio Noord- en Midden Limburg,RES019
0312,Bunnik,GM0312,37569138.70359999686,34607.82070100000,Regio U16/U10,RES026
0262,Lochem,GM0262,215942010.31600001454,88215.11883599999,Regio Stedendriehoek/cleantechregio,RES024
0743,Asten,GM0743,71339257.41789999604,40251.42530920000,Metropoolregio Eindhoven,RES017
1926,Pijnacker-Nootdorp,GM1926,38616281.99300000072,31846.60106420000,Regio Rotterdam-Den Haag,RES023
0856,Uden,GM0856,67531796.54970000684,42076.01717450000,Regio Noord-oost Brabant,RES020
0569,Nieuwkoop,GM0569,91162781.37729999423,55845.52621220000,Regio Holland Rijnland,RES013
0150,Deventer,GM0150,134334809.53499999642,63492.26346010000,Regio West-Overijssel,RES028
0971,Stein,GM0971,22799787.74500000104,30709.66692480000,Regio Zuid-Limburg,RES030
1900,Súdwest-Fryslân,GM1900,907100360.55999994278,165055.04171300001,Regio Friesland,RES009
0786,Grave,GM0786,28032978.06630000100,27821.83714500000,Regio Noord-oost Brabant,RES020
0899,Brunssum,GM0899,17338107.73369999975,19056.28493160000,Regio Zuid-Limburg,RES030
1884,Kaag en Braassem,GM1884,72239335.95900000632,43081.87711020000,Regio Holland Rijnland,RES013
0828,Oss,GM0828,170929379.22699999809,72612.98136880000,Regio Noord-oost Brabant,RES020
0340,Rhenen,GM0340,43756513.12080000341,34322.57913220000,Regio FoodValley,RES008
0232,Epe,GM0232,157372017.72999998927,63042.88913660000,Regio Stedendriehoek/cleantechregio,RES024
0074,Heerenveen,GM0074,198165256.89100000262,103700.61746199999,Regio Friesland,RES009
1883,Sittard-Geleen,GM1883,80584402.07250000536,50881.86687500000,Regio Zuid-Limburg,RES030
0984,Venray,GM0984,165001831.91899999976,66263.72623200000,Regio Noord- en Midden Limburg,RES019
0556,Maassluis,GM0556,10124598.73819999956,15381.68995590000,Regio Rotterdam-Den Haag,RES023
0297,Zaltbommel,GM0297,89042926.23180000484,58996.32122570000,Regio Rivierenland (Fruitdelta),RES022
